,frame,y,x,A,bg,x0,y0,x_std,y_std,sigma,niter,neglogL,retcode,xy_std,particle,dx,dy,step_length,step_sigma,p_value,Rg,log_p_values,track_length,motion
0,0,5.536505054776939,61.94710056140238,159.90937871880607,106.15768147809416,62,5,0.06462197479376075,0.06555330682655025,1.3607507077488654,5,14.035556100691407,0,0.06508930658004158,0,,,,,,3.1003347451449237,-1294.5537285694784,106,mobile
1,1,5.2921928899204485,62.81013787389599,194.55278459669137,104.90769117214947,63,5,0.054549591319479694,0.055815337281748215,1.3767940182826202,4,16.67980511898816,0,0.05518609330708945,0,0.8630373124936099,-0.244312164856491,0.8969514126490119,0.0853353544878641,1.0227841788330662e-24,3.1003347451449237,-1294.5537285694784,106,mobile
2,2,5.407138783538824,63.54676009773665,173.05973800585954,105.91672430537406,63,5,0.06094287953607221,0.06120316300288248,1.3440940891541848,4,16.691329014713983,0,0.06107315993014285,0,0.7366222238406621,0.11494589361837537,0.745536624932464,0.08231303516668298,1.5355445363247042e-18,3.1003347451449237,-1294.5537285694784,106,mobile
3,3,5.792350970344899,64.07894452867411,149.1026198857768,103.96848555259432,64,6,0.06743667495716921,0.0694748536250963,1.4740543604075107,4,16.624757512388484,0,0.06846334937580635,0,0.5321844309374626,0.3852121868060756,0.656969327591593,0.09174508745217114,7.333159948566093e-12,3.1003347451449237,-1294.5537285694784,106,mobile
4,4,6.182510090948082,63.91851758533065,155.44809535946197,107.52923418919667,64,6,0.0675246904647041,0.06660944197701399,1.2896081237663461,3,18.34912474454374,0,0.06706862747530806,0,-0.16042694334346663,0.39015912060318225,0.42185417331155606,0.095840654208824,6.207725968774162e-05,3.1003347451449237,-1294.5537285694784,106,mobile
5,5,6.749933714466064,64.467997655371,141.67903804439447,105.1735297199353,64,7,0.0712210445346515,0.07252202321394009,1.4569139807503353,4,18.148691450359053,0,0.07187447751340555,0,0.5494800700403459,0.5674236235179819,0.7898720883141902,0.0983063645408917,9.58080716269735e-15,3.1003347451449237,-1294.5537285694784,106,mobile
6,6,6.315341304416258,64.83336314896722,130.28464067028955,106.66018386801423,65,6,0.07837128802767014,0.07714760816485752,1.3794799683415482,4,17.94451347586551,0,0.07776185514979186,0,0.3653654935962294,-0.434592410049806,0.5677697656477624,0.10589072968944095,5.716749578706375e-07,3.1003347451449237,-1294.5537285694784,106,mobile
7,7,6.47415715905583,64.79436692644937,135.76660441849023,106.72436963325653,65,7,0.07488137287121506,0.07539369698826501,1.41853645914582,5,19.695454035407096,0,0.0751379715877274,0,-0.038996222517852175,0.15881585463957215,0.16353342488787898,0.10813242293898413,0.3186722158410727,3.1003347451449237,-1294.5537285694784,106,mobile
8,8,6.339480002277092,64.78413760216294,114.48219845384129,105.95415548780718,65,6,0.08535961328999538,0.08791503405504604,1.454948094364456,5,17.610451133334124,0,0.08664674487226125,0,-0.010229324286427754,-0.13467715677873748,0.13506507925204625,0.11468815619442516,0.49984552782572544,3.1003347451449237,-1294.5537285694784,106,mobile
9,9,6.314382503009487,65.45611756017873,112.37578570616861,104.68460448969124,66,6,0.08770495740817287,0.08626922835903472,1.4258318110189525,4,10.233564957711984,0,0.08699005493627619,0,0.6719799580157826,-0.025097499267605627,0.6724484727058129,0.1227799985941321,3.065207710226817e-07,3.1003347451449237,-1294.5537285694784,106,mobile
10,10,6.857203031042782,65.47104870626897,104.3398212359216,104.92575263891393,66,7,0.09361925807086394,0.09216706455457535,1.444461672815234,4,15.44249642849062,0,0.09289599902672419,0,0.014931146090248149,0.5428205280332952,0.5430258417220251,0.12726718466670617,0.00011134628948981743,3.1003347451449237,-1294.5537285694784,106,mobile
11,11,8.14867659076456,64.8939194593854,64.91284416636604,104.69553897170194,65,7,0.1387468874107195,0.14723238735170882,1.6693845911765528,5,14.086315416054983,0,0.14305256839960354,0,-0.5771292468835725,1.291473559721779,1.4145607526963426,0.17056876607660731,1.162066622261502e-15,3.1003347451449237,-1294.5537285694784,106,mobile
12,12,8.205144581718535,65.78672776908616,70.19795931060531,106.07870789939277,66,8,0.13089939070017176,0.13383742412315175,1.4805327068283765,4,10.81408004747909,0,0.13237655869072254,0,0.8928083097007544,0.05646799095397448,0.8945922601236255,0.19490405490015225,2.6625494359251194e-05,3.1003347451449237,-1294.5537285694784,106,mobile
13,13,8.858867275253223,64.94632300052355,76.25873172499429,106.62715516176638,65,9,0.12303193445363664,0.12603212868791477,1.4566117346091634,5,11.770036027575541,0,0.12454106623321291,0,-0.8404047685626068,0.6537226935346876,1.0647222807216048,0.1817526628946708,3.532865972921167e-08,3.1003347451449237,-1294.5537285694784,106,mobile
14,14,9.623368152084558,64.66158752398985,49.36691889682972,106.23325525002987,64,10,0.19036466167692354,0.17749157351247677,1.6613408891836352,5,11.953359674901462,0,0.18404070620830668,0,-0.28473547653369735,0.7645008768313346,0.8158038258507686,0.2222193932134587,0.0011841590934708864,3.1003347451449237,-1294.5537285694784,106,mobile
15,15,9.348255166134805,64.38042126052967,61.448725627036,107.01135116201266,64,9,0.15390496059179012,0.14612269200842762,1.520919829665014,4,8.99929809572262,0,0.1500642829166059,0,-0.2811662634601788,-0.2751129859497521,0.393372117398205,0.2374663566674812,0.25358414250215083,3.1003347451449237,-1294.5537285694784,106,mobile
16,16,9.89245304978797,63.734299001674465,87.60590567924594,105.76988949633528,64,10,0.10716543116948496,0.11032828681762215,1.5013955244165762,4,12.77401329772088,0,0.10875835717280102,0,-0.6461222588552076,0.5441978836531653,0.8447634639120822,0.18533124200253365,3.07917436271902e-05,3.1003347451449237,-1294.5537285694784,106,mobile
17,17,9.022519208375256,63.95772245117229,72.93113440919912,106.73251911220908,64,9,0.13405343443406262,0.12298037214645328,1.4700303759054083,4,16.317686766316875,0,0.1286361053842343,0,0.22342344949782245,-0.8699338414127151,0.8981664245676237,0.16845066893114552,6.708535346201188e-07,3.1003347451449237,-1294.5537285694784,106,mobile
18,18,7.936628527167568,63.86042148873775,61.39111767568859,106.27762016709943,64,8,0.15074370187335412,0.15068690912176508,1.6385554009946919,4,15.089631157981344,0,0.15071530817265005,0,-0.09730096243453801,-1.0858906812076876,1.0902412800955499,0.19814729805374767,2.667458251353487e-07,3.1003347451449237,-1294.5537285694784,106,mobile
