particle,track_length,n_disp,log_bf10
4,7,6,-0.06820665780600166
13,10,9,0.0276981309868205
30,8,7,-0.10082521908758224
62,10,9,-0.032761536410227166
84,8,7,-0.0007346510370815906
107,5,4,0.18971425738524061
110,9,8,0.18981743017371855
112,5,4,-0.03690347166885388
118,7,6,0.07828511058848875
121,7,6,0.07202712037583936
143,5,4,-0.048147346547040115
161,5,4,0.011641539899652997
177,5,4,0.0185975952988926
196,9,8,-0.004929309948565219
198,6,5,0.21990801875038812
235,8,7,0.01740505844615825
263,8,7,0.14712332885920176
295,6,5,0.023310973867886275
304,6,5,0.01885495009523197
340,6,5,0.0005143001463814301
351,6,5,0.015393726117732598
354,8,7,-0.1326095945624779
380,6,5,-0.11252259197794601
386,8,7,-0.07852169736534265
442,5,4,-0.023842189383820767
483,9,8,-0.21015874219263608
510,6,5,-0.11155697574712775
544,6,5,0.021051155359039342
591,9,8,-0.013555240301478477
619,5,4,0.15186696506258812
626,7,6,0.055022243553107586
661,5,4,0.08200859116758963
684,10,9,-0.029050756623011154
739,7,6,-0.0037543832332573857
751,6,5,0.10217994541692832
765,9,8,0.02579152346541136
782,5,4,-0.03405530954536218
794,9,8,-0.13221289098330047
800,9,8,0.008044152850253283
888,6,5,-0.030517067203852832
894,6,5,0.05003077082420759
926,6,5,0.013695517040591909
928,7,6,-0.0011212524592387751
960,5,4,-0.05337541109548738
1005,7,6,0.16904441107983814
1098,7,6,0.13608888328918667
1115,5,4,-0.0419613928906486
1131,5,4,0.00487086073822951
1165,6,5,0.12759364101579962
1213,8,7,0.0015247767020305503
1219,5,4,-0.03882688876383611
1238,7,6,0.14523621722569402
1251,7,6,0.2067718970280339
1264,5,4,-0.018098235659323336
1265,6,5,-0.016979737688782137
1268,7,6,0.029995172640763457
1305,5,4,0.05033703058020578
1310,10,9,0.24173009947783797
1381,5,4,-0.018742181959378712
1395,6,5,0.05821535181821602
1422,7,6,-0.032154086169203566
1483,8,7,-0.10024245757579564
1487,6,5,0.08785689666675012
1495,7,6,-0.18317929102187236
1509,6,5,0.07918002084836928
1530,5,4,-0.018093299101945348
1550,6,5,-0.05198941249912181
1622,6,5,0.13864500351045805
1628,5,4,0.06348463426385464
1688,6,5,-0.008563754741743423
1721,8,7,-0.09816300902143027
1766,7,6,-0.15633627964184527
1767,7,6,0.12008431819658583
1839,6,5,0.07682282437861687
1848,9,8,-0.21226288991704223
1870,5,4,0.03953528868835576
1872,8,7,0.025595165960044852
1903,7,6,0.5164930049170078
1922,9,8,0.1367332449805012
1943,8,7,0.078967589105293
2018,5,4,0.1993919339541037
2076,6,5,0.0572240214346067
2088,9,8,-0.07873757047239138
2115,5,4,0.10587333885534989
2160,9,8,0.08301381927442719
2201,9,8,0.06465978249988069
2216,5,4,-0.04155454711965412
2278,5,4,-0.04584700916826279
2329,5,4,-0.08898458757317229
2369,9,8,0.08708944645663053
2402,5,4,-0.07199397890179426
2469,6,5,-0.011316854630305073
2470,6,5,-0.04195786584364214
2539,5,4,0.0657438280347371
2566,5,4,0.03035406030139498
2581,6,5,-0.06221458428175808
2646,7,6,0.2603069868432133
2656,7,6,-0.043126332711480586
2669,6,5,-0.11702702214992655
2684,9,8,0.16848057006462014
2686,9,8,-0.160161224444213
2733,5,4,-0.12458228965399165
2736,7,6,-0.015735086325996406
2737,6,5,-0.07792593106378831
2738,6,5,-0.13357581770997484
2774,7,6,0.3020558325553857
2831,8,7,-0.11471490357818936
2897,6,5,-0.07795925995711173
2898,6,5,0.10782837802186407
2921,5,4,-0.015956131008618257
2967,6,5,-0.10791861254973156
2975,5,4,-0.11989359927644827
2987,9,8,0.6293968459193913
2991,5,4,-0.12512540810891792
3001,6,5,0.02892118376273345
3031,7,6,-0.11160066603030927
3033,10,9,0.21092428528566387
3044,7,6,0.08843304613727909
3069,9,8,-0.01026982421109679
3087,7,6,0.2631275109997091
3102,8,7,-0.18978179824240016
3107,8,7,0.21710959364849813
3215,7,6,0.028536647133165616
3273,6,5,-0.12319708815115149
3350,5,4,-0.05829007717871093
3374,8,7,-0.012813701293627133
3413,9,8,0.048459532455627397
3437,7,6,-0.13398781556141515
3438,5,4,0.08001112900909746
3453,6,5,-0.09828075761586419
3455,8,7,-0.23383791552127775
3496,9,8,-0.13188783337022159
3515,8,7,0.2669826976248011
3524,10,9,-0.14728516767475952
3535,9,8,-0.16922436055280343
3558,6,5,-0.02811899276154506
3584,10,9,-0.002193636633499807
3619,8,7,0.1732429991518778
3630,7,6,0.05212224929909226
3678,7,6,0.29455451307072167
3738,6,5,-0.00486443734944686
3772,6,5,0.2660935009166092
3787,6,5,-0.10305357187150932
3795,5,4,-0.020998673977036475
3802,6,5,0.0070422206515274866
3832,9,8,0.01608180854866248
3885,8,7,-0.037477078999526015
3895,9,8,-0.06603674640917134
3900,10,9,-0.17607198571020177
3952,7,6,0.10471943086046664
3963,9,8,0.19441381626383958
3985,7,6,0.0021190774240373855
4016,7,6,0.007654906511898929
4019,9,8,-0.14278775767539642
4030,7,6,0.16921503504592295
4102,5,4,0.007865962351040423
4109,8,7,0.16830110239530427
4135,5,4,-0.01194303276647446
4147,9,8,-0.010802506911701926
4197,10,9,-0.021785974817941423
4203,7,6,0.1866878023237497
4236,6,5,0.0018287826178315925
4246,6,5,0.09826988122958724
4270,6,5,-0.1081187383976463
4294,9,8,0.04688311987513316
4295,6,5,-0.054855636851034006
4368,5,4,0.1288301844022488
4390,6,5,0.1425646332064261
4417,8,7,0.2254733487406
4419,6,5,0.13118616078201484
4438,10,9,-0.10420478254530963
4519,6,5,0.1936321763194293
4539,5,4,-0.0354277004541359
4542,10,9,-0.24196137524473826
4564,6,5,-0.028401884926733345
4649,8,7,-0.004458735499088817
4679,9,8,-0.0005197349985763822
4680,9,8,-0.03900467733808455
4682,9,8,-0.07108070159743463
4687,9,8,-0.21510446838052744
4689,5,4,0.023470690336147015
4696,6,5,-0.11758495613953812
4697,8,7,-0.04307372032014811
4715,8,7,0.3311403024998256
4748,6,5,0.13468123199539406
