lag,tau_s,n_tracks,n_pairs_total,msd_um2,msd_sem
1,0.033,539,25734,0.006956761361816364,0.00011598108821147511
2,0.066,539,25195,0.014275635059121147,0.000170094799227801
3,0.099,539,24656,0.021543215915173435,0.000227760808102735
4,0.132,539,24117,0.02880761699285228,0.0003232343886305311
5,0.165,500,23578,0.03602204359938278,0.0004394985032568259
6,0.198,451,23078,0.04307755700183969,0.0005659001894146714
7,0.231,419,22627,0.05016226421835574,0.0006921400219949578
8,0.264,395,22208,0.057232223909479664,0.0008319454242169086
9,0.29700000000000004,365,21813,0.06424250471634918,0.0009965301772690213
10,0.33,354,21448,0.07121776718236597,0.0011584190086187328
11,0.363,337,21094,0.07811798134463467,0.0013373544874912698
12,0.396,323,20757,0.08506290201357779,0.001534321409682084
13,0.42900000000000005,313,20434,0.09206926798144953,0.0017383065544176457
14,0.462,300,20121,0.09914631483533586,0.0019463722085105285
15,0.495,294,19821,0.10624094789029036,0.002146743906139455
16,0.528,282,19527,0.11338385416509779,0.002397650141933303
17,0.561,276,19245,0.12056781811720899,0.0026281364272053302
18,0.5940000000000001,267,18969,0.12785721333434094,0.0029009865752124657
19,0.627,265,18702,0.13517557426236748,0.003146850102544701
20,0.66,258,18437,0.1426280648760784,0.0034329633594832785
21,0.6930000000000001,250,18179,0.15018449756131805,0.0037380930821234726
22,0.726,243,17929,0.15770988403770472,0.004040312772353328
23,0.759,238,17686,0.16533723223807245,0.00432089318795652
24,0.792,233,17448,0.17297270149610278,0.004607301222657994
25,0.8250000000000001,227,17215,0.18062386733991148,0.00489564831883627
26,0.8580000000000001,227,16988,0.18828528079683873,0.005135092248882145
27,0.891,225,16761,0.1960252650185585,0.0054109526709372096
28,0.924,221,16536,0.20352809860517365,0.005737091629888241
29,0.9570000000000001,219,16315,0.21097159329639764,0.006043575450796078
30,0.99,215,16096,0.21834759276878676,0.006388927180066496
31,1.0230000000000001,211,15881,0.2256030645498472,0.006742281488882361
32,1.056,208,15670,0.2328482229234782,0.0070981636094056616
33,1.089,204,15462,0.2399632425589375,0.007489026757351401
34,1.122,203,15258,0.2470124582205162,0.007835811608550378
35,1.155,199,15055,0.25395921291312334,0.00825860510833777
36,1.1880000000000002,192,14856,0.26082443465490934,0.008770507517274928
37,1.221,192,14664,0.2677428138200054,0.00914920921234229
38,1.254,190,14472,0.2745277912489407,0.009554565161529869
39,1.2870000000000001,188,14282,0.2814091011303352,0.009982303918652293
40,1.32,187,14094,0.2883967877585031,0.010376130371856508
41,1.353,186,13907,0.2952352495236964,0.010801021484714882
42,1.3860000000000001,183,13721,0.302208026729594,0.011296956787771774
43,1.419,181,13538,0.3092515658993483,0.011769384918606185
44,1.452,179,13357,0.3164972482906162,0.012280632695900164
45,1.485,177,13178,0.3239740679289573,0.012813594931892552
46,1.518,174,13001,0.33123715034042384,0.013401260893922086
47,1.5510000000000002,174,12827,0.3385275991869684,0.013911684913776597
48,1.584,169,12653,0.3458260787339069,0.014636865519159478
49,1.617,169,12484,0.35311933452737515,0.015149401221036555
50,1.6500000000000001,169,12315,0.36039874844006836,0.01567440570562258
51,1.683,168,12146,0.36776795140996216,0.016252868250011186
52,1.7160000000000002,166,11978,0.37515287801542574,0.016903897135911408
53,1.749,165,11812,0.3826729044729863,0.01751780994253806
54,1.782,162,11647,0.39021130735939796,0.018261704137276718
55,1.8150000000000002,158,11485,0.3979162812359458,0.01906853797435878
56,1.848,154,11327,0.4055772981443204,0.01990084212999388
57,1.881,154,11173,0.41352527860993854,0.020468936402709748
58,1.9140000000000001,153,11019,0.4215671445854292,0.02110847546893987
59,1.947,150,10866,0.4296860219765729,0.02189251510971573
60,1.98,148,10716,0.43791865908082045,0.02259533815972037
61,2.013,144,10568,0.4464017849899069,0.02350753203843848
62,2.0460000000000003,143,10424,0.45461741301671443,0.024166267463381783
63,2.079,141,10281,0.46286088497752537,0.024909612870983124
64,2.112,139,10140,0.47120432739554347,0.025689325396171168
65,2.145,137,10001,0.4795875645923291,0.026484694073912456
66,2.178,134,9864,0.48802435593177357,0.027396687927895815
67,2.2110000000000003,132,9730,0.4964498002998068,0.028224930724777286
68,2.244,130,9598,0.5049643684151157,0.029063250164748523
69,2.277,129,9468,0.5133811493179357,0.029778638709714478
70,2.31,128,9339,0.5216631719953146,0.030478125843420415
71,2.343,127,9211,0.5298106055725189,0.031169147943931975
72,2.3760000000000003,125,9084,0.5375221700871133,0.031991881343401564
73,2.4090000000000003,123,8959,0.5453666749019651,0.03284238589833451
74,2.442,122,8836,0.5533295528433368,0.03359714551572047
75,2.475,122,8714,0.5615395811135289,0.034220861449719454
76,2.508,120,8592,0.5696757133011119,0.035127183719448216
77,2.541,119,8472,0.5778908145152584,0.03594449747012255
78,2.5740000000000003,118,8353,0.5859537849097434,0.03674135602838168
79,2.607,117,8235,0.5941522601729398,0.037530437487826064
80,2.64,115,8118,0.6019668190100451,0.038512970375560625
81,2.673,114,8003,0.6096735127750612,0.03932913763825918
82,2.706,112,7889,0.6175073763934581,0.0403589656392484
83,2.7390000000000003,111,7777,0.6252481979697811,0.041144951876472116
84,2.7720000000000002,107,7666,0.6331959514708985,0.042536813317627785
85,2.805,107,7559,0.6415151665344155,0.04318711257398578
86,2.838,106,7452,0.6498954076591569,0.044069214114964624
87,2.871,105,7346,0.6581288078512897,0.044901769512542586
88,2.904,104,7241,0.6657529056828212,0.045756463534251265
89,2.9370000000000003,103,7137,0.6731115487987976,0.046617472537314415
90,2.97,101,7034,0.680627087305263,0.04774988487825904
91,3.003,100,6933,0.687998445308224,0.04866825437448807
92,3.036,99,6833,0.6954412387710341,0.04956024517423994
93,3.069,99,6734,0.7030096829519191,0.05022014096649674
94,3.1020000000000003,96,6635,0.7104757622465361,0.05168170618652641
95,3.1350000000000002,95,6539,0.718251789311451,0.05267975788571583
96,3.168,94,6444,0.7260560849138918,0.053774245778977284
97,3.201,94,6350,0.7338852333005814,0.054640571286851125
98,3.234,93,6256,0.7417624882964113,0.05578146293890588
99,3.2670000000000003,93,6163,0.7496577986425725,0.05665930884463898
100,3.3000000000000003,93,6070,0.7575433883048254,0.05754803016136361
101,3.333,91,5977,0.765486188605856,0.05906521981748294
102,3.366,90,5886,0.7734989839749107,0.06026552527518661
103,3.399,89,5796,0.7818299565722564,0.06143400906288735
104,3.4320000000000004,88,5707,0.7896927679596738,0.06253985849497774
105,3.4650000000000003,88,5619,0.7971761087460183,0.06332793641843806
106,3.498,87,5531,0.804520791842414,0.06440910786625419
107,3.531,87,5444,0.8117085259617252,0.06506304298603884
108,3.564,87,5357,0.8189140645952837,0.06572741693045225
109,3.597,86,5270,0.825830670075614,0.0667309849261316
110,3.6300000000000003,86,5184,0.8329357390062048,0.06740484815029874
111,3.6630000000000003,86,5098,0.8400367289773982,0.0681919431401118
112,3.696,85,5012,0.8469797826208009,0.0693868494790736
113,3.729,85,4927,0.8536713337350659,0.07010134191117219
114,3.762,84,4842,0.8612069829763475,0.07133954521856777
115,3.7950000000000004,83,4758,0.8691057781277964,0.07257404489266996
116,3.8280000000000003,82,4675,0.8780209976607682,0.07411601339411818
117,3.861,80,4593,0.886733665576325,0.07613068185417074
118,3.894,79,4513,0.8956013368990811,0.07775091457673812
119,3.927,77,4434,0.9036512876134914,0.0798828520583237
120,3.96,75,4357,0.911490813903436,0.08206402481898026
121,3.9930000000000003,75,4282,0.9190650193432642,0.08309345085309179
122,4.026,75,4207,0.9258715274628905,0.0840144105537998
123,4.059,75,4132,0.932221124274665,0.08484616239840512
124,4.0920000000000005,74,4057,0.9380613531824186,0.08610101462865283
125,4.125,73,3983,0.9438492660739228,0.08744551916790648
126,4.158,72,3910,0.9497948262375567,0.08883305615929625
127,4.191,72,3838,0.956385352711809,0.08958364206495992
128,4.224,72,3766,0.9634685804294334,0.090351351635699
129,4.257000000000001,70,3694,0.9702175397368449,0.09230468723844053
130,4.29,70,3624,0.9765019653388501,0.09297096613980016
131,4.323,70,3554,0.98197471196345,0.09358513706437827
132,4.356,70,3484,0.9876431242124125,0.09414690024988613
133,4.389,68,3414,0.9936003017764834,0.09603301748354609
134,4.422000000000001,68,3346,0.9996903405927341,0.09644823205681824
135,4.455,67,3278,1.0059632106982253,0.09749732954833544
136,4.488,66,3211,1.0115803533760914,0.09853023066167879
137,4.521,65,3145,1.017587284572106,0.099635861724756
138,4.554,65,3080,1.0233780789448466,0.09985873612563756
139,4.587000000000001,65,3015,1.0293048952009183,0.10010740784022092
140,4.62,64,2950,1.034802324276603,0.1012405889238497
141,4.6530000000000005,63,2886,1.0403460829506765,0.10241698115920934
142,4.686,63,2823,1.0461219875269694,0.10289023799982092
143,4.719,61,2760,1.0517886971922359,0.10508408386738131
144,4.752000000000001,59,2699,1.0567072539241222,0.10729133425915569
145,4.785,59,2640,1.061852482849139,0.10762069269251395
146,4.8180000000000005,58,2581,1.0663083718284216,0.1088609440441851
147,4.851,58,2523,1.0698997017111302,0.10900182165164793
148,4.884,56,2465,1.0723582185450962,0.11075501112247654
149,4.917,55,2409,1.0743542790641347,0.11149389960158641
150,4.95,54,2354,1.0750840048423338,0.11199654646010895
151,4.9830000000000005,54,2300,1.0767992633174779,0.11180884432381963
152,5.016,54,2246,1.0781419461356672,0.11166167429635264
153,5.049,54,2192,1.0799184483761775,0.1117641032786903
154,5.082,54,2138,1.0805130152394973,0.11195769481350024
155,5.115,53,2084,1.0818140050145988,0.11314112592006853
156,5.148000000000001,53,2031,1.0837014799659654,0.1136177780459331
157,5.181,53,1978,1.0861304815736421,0.11413034098676483
158,5.214,53,1925,1.0890258449966732,0.11495176830843064
159,5.247,53,1872,1.09146646514286,0.11584602647781558
160,5.28,52,1819,1.0944111219683024,0.11779367851623583
161,5.313000000000001,52,1767,1.0984724503560805,0.11890069510751287
162,5.346,52,1715,1.1035971649800778,0.12018537119910436
163,5.3790000000000004,51,1663,1.1089852605366488,0.12267410224453824
164,5.412,51,1612,1.115116624381903,0.12394497399018803
165,5.445,51,1561,1.120179733432633,0.12511198066637486
166,5.478000000000001,50,1510,1.123716332836357,0.12713825326611383
167,5.511,50,1460,1.126589451212263,0.1275403433747226
168,5.5440000000000005,50,1410,1.1292797744750476,0.1277374508758375
169,5.577,49,1360,1.1322334572248205,0.12927483950236754
170,5.61,49,1311,1.134304991665029,0.12963440966478565
171,5.643000000000001,49,1262,1.1372468999911554,0.12996403382678318
172,5.676,49,1213,1.13987202176031,0.1301257689404903
173,5.7090000000000005,48,1164,1.1440537534304163,0.13161337377185703
174,5.742,47,1116,1.1540360496969377,0.13457266993279438
175,5.775,47,1069,1.1625438256915197,0.13595325893269428
176,5.808,47,1022,1.1710082096161343,0.13745369185504194
177,5.841,47,975,1.1807347346870525,0.1391035601449753
178,5.8740000000000006,47,928,1.1909624097686893,0.1405645462083953
179,5.907,47,881,1.203585081088858,0.1422604179215069
180,5.94,47,834,1.2177593816877703,0.14411492493916384
181,5.973,46,787,1.231704372801315,0.14724058853282454
182,6.006,46,741,1.2437736039570728,0.14868107206088785
183,6.039000000000001,45,695,1.2577744453829673,0.1520236631240652
184,6.072,45,650,1.2708866174101299,0.15373829043725173
185,6.105,45,605,1.283971967115073,0.1560426911894425
186,6.138,43,560,1.293488878472087,0.16119745786484443
187,6.171,42,517,1.3045508961881482,0.16558440947615746
188,6.204000000000001,42,475,1.3148680206962775,0.16780871349886392
189,6.237,42,433,1.324354313750755,0.169633632392956
190,6.2700000000000005,42,391,1.3319957614678513,0.17193657236220586
191,6.303,41,349,1.3437585137778774,0.17668333227112124
192,6.336,41,308,1.36138359949865,0.17989486691284515
193,6.369000000000001,41,267,1.3752926689802896,0.18208612866916463
194,6.402,40,226,1.3858195212979396,0.18591138634068274
195,6.4350000000000005,38,186,1.3933890241915727,0.19149299293239966
196,6.468,37,148,1.3899838662712845,0.1948816126852126
197,6.501,37,111,1.3938642407533026,0.19571781385569562
198,6.534000000000001,37,74,1.3992414118400895,0.19667380697275588
199,6.567,37,37,1.3960766772928874,0.19452904763518833
