track_length,sigma_regime,prior,n_replicates,mean_median_eps,flagged_fraction,median_hpdi90_upper
5,low_sigma,"shrinkage_Beta(1,3)",60,0.20550867563247807,0.0,0.5356461626772698
5,low_sigma,flat_WEAK,60,0.4507256044145202,0.9833333333333333,0.8443997475658436
5,high_sigma,"shrinkage_Beta(1,3)",60,0.20565583887170158,0.0,0.5214380940446113
5,high_sigma,flat_WEAK,60,0.47448058014886013,1.0,0.8758166978755586
7,low_sigma,"shrinkage_Beta(1,3)",60,0.20524605330651027,0.0,0.5081652006962121
7,low_sigma,flat_WEAK,60,0.4015911779011044,0.7666666666666667,0.7564332350115155
7,high_sigma,"shrinkage_Beta(1,3)",60,0.20085863792586306,0.016666666666666666,0.5174099511141983
7,high_sigma,flat_WEAK,60,0.4216029796474719,0.9166666666666666,0.8371658883879578
10,low_sigma,"shrinkage_Beta(1,3)",60,0.19649707968793192,0.0,0.5009668994662937
10,low_sigma,flat_WEAK,60,0.3639189945029574,0.6666666666666666,0.7109279684997647
10,high_sigma,"shrinkage_Beta(1,3)",60,0.2027756790190097,0.016666666666666666,0.5110192379636043
10,high_sigma,flat_WEAK,60,0.42663140951946377,0.8333333333333334,0.8425147207158105
