particle,track_length,n_disp,D_alpha,D_alpha_stderr,sigma,sigma_stderr,alpha,alpha_stderr,true_D_um2_s_alpha,true_alpha
248,200,199,0.040744742078650226,0.005424439025656088,0.02776993597409009,0.0019378264609611062,1.1760864555873496,0.039588694701669036,0.05,1.2
153,200,199,0.04444698337535759,0.0038667370297046123,0.02786628896146319,0.0032331708584633703,0.8502490154680561,0.029874327677289814,0.05,0.9
375,200,199,0.038576982328303325,0.00695070348004902,0.023949555828338156,0.0011452776567502446,1.7025440695777034,0.03485467134331488,0.05,1.8
254,200,199,0.0564701968512992,0.0062211981716335935,0.02794816083799496,0.0018432707430035469,1.2324112929526718,0.03400730195441093,0.05,1.2
363,200,199,0.00733405370983443,0.0013100164908754772,0.022696672965174896,0.0010466371258127938,1.3311014899414733,0.06792897757758154,0.05,1.8
285,200,199,0.04928474306633654,0.00542003960043512,0.02690299825133815,0.0017085351319206105,1.2593593144975999,0.03915723624465062,0.05,1.2
331,200,199,0.06605682677241015,0.00850845663661767,0.02348630804830473,0.0012729607148718788,1.5338626467466578,0.03684616032327925,0.05,1.5
30,200,199,0.04625388617907593,0.004007777625952093,0.045608881941730794,0.005825754207460048,0.555702118897726,0.028565115936329266,0.05,0.5
44,200,199,0.060568365990896884,0.008603059723372577,0.07748071021388571,0.004515371344427366,0.8317291046028252,0.052115847838997253,0.05,0.5
39,200,199,0.04922497440061671,0.0053196288706564045,0.05234265720884956,0.005867649675285729,0.5970772332489318,0.03436424182847203,0.05,0.5
262,200,199,0.02882285699097683,0.003069112200460536,0.021402598168892294,0.0019377093694850356,0.9566152234230345,0.03050364726897342,0.05,1.2
351,200,199,0.06457840481645344,0.01015772135436201,0.027041480061206657,0.001541174266890235,1.6276842894928114,0.03605556295132917,0.05,1.5
400,200,199,0.06316427596621298,0.012177146435217036,0.02397716062412331,0.0010233396267587628,1.8402422190289345,0.02564428371135996,0.05,1.8
300,200,199,0.1590446250446089,0.02409756549639576,0.027909893126532883,0.0013169855678468873,1.767153134722892,0.026975577431676556,0.05,1.5
139,200,199,0.05872896761001286,0.006345998215041504,0.03379702775211477,0.002549943027179022,1.0498570958441384,0.03548774559310908,0.05,0.9
93,200,199,0.05875352093662231,0.005893994204503081,0.04590108348535957,0.004559194481065763,0.8025024539065565,0.03194225562373271,0.05,0.7
272,200,199,0.0525868568627736,0.005422310939954038,0.02540620929490004,0.0018975012145111964,1.2021673483862776,0.034934800111620534,0.05,1.2
37,200,199,0.04357563789500319,0.005377764174687348,0.07061922415111926,0.0050903725734939495,0.6258111769324503,0.04463282355971049,0.05,0.5
319,200,199,0.08200059838815273,0.011860144939579105,0.026856976696538745,0.0012623932498030156,1.6440234123634239,0.037753114714769054,0.05,1.5
108,200,199,0.13613150492835435,0.01750661575566133,0.05436989553214909,0.003357025071604909,1.1587616175788151,0.04189472920094062,0.05,0.7
328,200,199,0.03598978172660052,0.004816936208864284,0.024403593900052485,0.0013563214314032193,1.4386250706364587,0.04564687222211894,0.05,1.5
402,200,199,0.05723323096562484,0.010324712812462038,0.024347478760005585,0.0010811235517203897,1.7873639640971177,0.03158732138749809,0.05,1.8
284,200,199,0.03867466016694684,0.003786031806467055,0.02157281010889848,0.001998165540266352,1.1098256043104917,0.02714935713109956,0.05,1.2
134,200,199,0.07255256708871505,0.007906161429056771,0.03751800471048743,0.0025524647747533352,1.1476867318559907,0.03623671087883307,0.05,0.9
206,200,199,0.054497442658997905,0.005918669603394235,0.030847825663576436,0.0023702298026039275,1.0703410311437476,0.0338735380887728,0.05,1.0
282,200,199,0.06871903705930953,0.009826267904587481,0.02925390898506886,0.0016877298816997902,1.3969344299724764,0.04638494318397535,0.05,1.2
79,200,199,0.06922540149370075,0.00803414565747921,0.047560075259807114,0.0035715546307390905,0.9332003866566247,0.03751162039826195,0.05,0.7
125,200,199,0.060507941109982845,0.005794624921402296,0.034897871483844385,0.0029137626242776334,0.9655965380700205,0.031512859709937224,0.05,0.9
195,200,199,0.05852036800964471,0.007178325934081041,0.033206674479813986,0.0020676810115631775,1.2035718995585516,0.03636768409871116,0.05,1.0
137,200,199,0.046394278397563604,0.004903628893176488,0.03181405284740163,0.002949486097228079,0.9537474196068866,0.03393850080106364,0.05,0.9
291,200,199,0.06525325304667676,0.007569330170449518,0.024177226196319655,0.0016094142611234007,1.280110227467403,0.03034690303584353,0.05,1.2
63,200,199,0.0538437616214341,0.0053941821463312015,0.05150793348884316,0.003656901340354936,0.8909157433490497,0.03815187155869876,0.05,0.7
173,200,199,0.04912133718323404,0.004673575908858647,0.0311458817101427,0.0028330356139815473,0.911346697792096,0.03141530577027668,0.05,0.9
105,200,199,0.04311123889802643,0.004179904043241468,0.034291809059704505,0.0037359458845649136,0.7510547982722418,0.030154658097677922,0.05,0.7
36,200,199,0.04960469679252683,0.004951744251646219,0.05680841499722536,0.005012153804939558,0.609610774558479,0.03325236937556908,0.05,0.5
399,200,199,0.07161763772564726,0.013004822505241435,0.025965009280620767,0.0009738360615235368,1.8592431909746023,0.02221961831694852,0.05,1.8
401,200,199,0.06030651687033158,0.01178766889017483,0.02419350272302957,0.001129134041437595,1.760494755052287,0.03525764370522522,0.05,1.8
212,200,199,0.03940920347189181,0.002964059639737282,0.019435481311105455,0.0033196914044627147,0.8977906783802583,0.0254083240635688,0.05,1.0
250,200,199,0.05177458564918075,0.006285147433131286,0.029124374519450977,0.0018238495125687294,1.2351162010439465,0.038522288101544344,0.05,1.2
65,200,199,0.06403927187384006,0.005943191464776967,0.033306798601125974,0.004215270098925604,0.7991726426197931,0.0252009714432464,0.05,0.7
190,200,199,0.08804268990264941,0.012895740193624633,0.04152741065285273,0.0021541067069693887,1.3726367776459856,0.05109866608977576,0.05,1.0
299,200,199,0.05027403912805004,0.005886287079540985,0.025359866145619227,0.0016482903540787075,1.2123043829982152,0.03170725010317876,0.05,1.2
321,200,199,0.07603203521360195,0.01229306543224807,0.027792085249054382,0.001373222225887297,1.5855599008930796,0.03987653635595867,0.05,1.5
275,200,199,0.058260893763930344,0.005972722314162113,0.021792664996420595,0.0018909460174590942,1.2410881355426597,0.03060785304449365,0.05,1.2
156,200,199,0.057572781629984054,0.00557939368091849,0.03371889675256721,0.002631014469123177,1.0351740147292907,0.03288662282010146,0.05,0.9
